,job,company,location,salary,description
8630,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8631,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8632,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8633,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8634,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8635,Senior Data Scientist,    NIT Finance,"New York, NY",,
8636,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8637,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8638,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8639,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8640,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8641,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8642,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8643,Data Scientist,    xometry,"Durham, NC",,
8644,Data Scientist,        Novetta,"Crystal City, VA",,
8645,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8646,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8647,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8648,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8649,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8650,Senior Data Scientist,    NIT Finance,"New York, NY",,
8651,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8652,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8653,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8654,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8655,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8656,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8657,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8658,Data Scientist,    xometry,"Durham, NC",,
8659,Data Scientist,        Novetta,"Crystal City, VA",,
8660,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8661,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8662,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8663,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8664,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8665,Senior Data Scientist,    NIT Finance,"New York, NY",,
8666,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8667,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8668,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8669,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8670,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8671,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8672,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8673,Data Scientist,    xometry,"Durham, NC",,
8674,Data Scientist,        Novetta,"Crystal City, VA",,
8675,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8676,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8677,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8678,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8679,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8680,Senior Data Scientist,    NIT Finance,"New York, NY",,
8681,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8682,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8683,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8684,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8685,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8686,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8687,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8688,Data Scientist,    xometry,"Durham, NC",,
8689,Data Scientist,        Novetta,"Crystal City, VA",,
8690,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8691,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8692,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8693,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8694,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8695,Senior Data Scientist,    NIT Finance,"New York, NY",,
8696,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8697,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8698,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8699,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8700,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8701,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8702,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8703,Data Scientist,    xometry,"Durham, NC",,
8704,Data Scientist,        Novetta,"Crystal City, VA",,
8705,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8706,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8707,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8708,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8709,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8710,Senior Data Scientist,    NIT Finance,"New York, NY",,
8711,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8712,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8713,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8714,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8715,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8716,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8717,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8718,Data Scientist,    xometry,"Durham, NC",,
8719,Data Scientist,        Novetta,"Crystal City, VA",,
8720,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8721,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8722,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8723,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8724,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8725,Senior Data Scientist,    NIT Finance,"New York, NY",,
8726,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8727,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8728,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8729,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8730,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8731,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8732,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8733,Data Scientist,    xometry,"Durham, NC",,
8734,Data Scientist,        Novetta,"Crystal City, VA",,
8735,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8736,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8737,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8738,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8739,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8740,Senior Data Scientist,    NIT Finance,"New York, NY",,
8741,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8742,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8743,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8744,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8745,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8746,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8747,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8748,Data Scientist,    xometry,"Durham, NC",,
8749,Data Scientist,        Novetta,"Crystal City, VA",,
8750,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8751,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8752,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8753,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8754,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8755,Senior Data Scientist,    NIT Finance,"New York, NY",,
8756,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8757,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8758,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8759,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8760,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8761,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8762,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8763,Data Scientist,    xometry,"Durham, NC",,
8764,Data Scientist,        Novetta,"Crystal City, VA",,
8765,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8766,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8767,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8768,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8769,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8770,Senior Data Scientist,    NIT Finance,"New York, NY",,
8771,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8772,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8773,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8774,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8775,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8776,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8777,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8778,Data Scientist,    xometry,"Durham, NC",,
8779,Data Scientist,        Novetta,"Crystal City, VA",,
8780,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8781,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8782,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8783,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8784,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8785,Senior Data Scientist,    NIT Finance,"New York, NY",,
8786,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8787,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8788,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8789,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8790,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8791,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8792,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8793,Data Scientist,    xometry,"Durham, NC",,
8794,Data Scientist,        Novetta,"Crystal City, VA",,
8795,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8796,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8797,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8798,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8799,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8800,Senior Data Scientist,    NIT Finance,"New York, NY",,
8801,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8802,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8803,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8804,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8805,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8806,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8807,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8808,Data Scientist,    xometry,"Durham, NC",,
8809,Data Scientist,        Novetta,"Crystal City, VA",,
8810,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8811,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8812,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8813,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8814,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8815,Senior Data Scientist,    NIT Finance,"New York, NY",,
8816,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8817,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8818,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8819,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8820,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8821,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8822,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8823,Data Scientist,    xometry,"Durham, NC",,
8824,Data Scientist,        Novetta,"Crystal City, VA",,
8825,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8826,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8827,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8828,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8829,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8830,Senior Data Scientist,    NIT Finance,"New York, NY",,
8831,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8832,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8833,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8834,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8835,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8836,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8837,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
